hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,reserved_room_type,assigned_room_type
City Hotel,0,202,2017,April,15,14,1,2,2,0.0,0,A,A
Resort Hotel,1,31,2015,November,45,2,5,11,1,0.0,0,A,A
City Hotel,0,263,2017,June,25,23,2,2,2,0.0,0,A,A
City Hotel,0,72,2015,September,38,18,0,1,2,0.0,0,A,A
Resort Hotel,0,94,2016,June,24,5,2,5,2,0.0,0,D,D
City Hotel,1,113,2017,May,20,20,2,1,1,0.0,0,A,A
City Hotel,1,164,2017,May,20,15,1,2,1,0.0,0,A,A
Resort Hotel,0,282,2017,June,25,24,2,5,2,2.0,0,C,C
City Hotel,1,26,2017,April,17,28,1,2,2,0.0,0,A,A
City Hotel,1,0,2015,November,47,18,0,1,1,0.0,0,A,F
City Hotel,0,214,2017,July,28,9,1,0,2,0.0,0,A,A
Resort Hotel,0,45,2016,May,20,8,2,0,1,0.0,0,E,E
Resort Hotel,0,137,2017,August,34,26,4,6,2,0.0,0,A,A
City Hotel,1,102,2017,July,30,27,0,1,2,2.0,0,F,F
City Hotel,0,164,2015,October,40,2,0,2,1,0.0,0,A,A
Resort Hotel,0,22,2017,August,31,5,2,1,3,0.0,0,A,A
City Hotel,1,14,2015,October,42,15,0,2,1,0.0,0,A,A
City Hotel,1,86,2016,March,13,23,0,4,2,0.0,0,A,A
City Hotel,0,73,2017,February,7,12,2,1,2,0.0,0,A,A
City Hotel,1,88,2017,April,14,8,2,3,3,0.0,0,D,D
City Hotel,0,11,2016,November,46,7,1,2,2,0.0,0,A,A
City Hotel,1,92,2016,March,13,26,2,1,2,0.0,0,A,A
City Hotel,1,296,2017,July,30,28,2,3,2,2.0,0,A,A
Resort Hotel,1,34,2016,October,45,30,2,5,2,0.0,0,A,A
City Hotel,0,153,2017,August,32,9,0,1,2,0.0,0,A,A
City Hotel,1,222,2016,October,44,29,0,1,2,2.0,0,F,F
Resort Hotel,0,47,2017,March,12,20,1,4,1,0.0,0,A,A
City Hotel,0,4,2017,January,4,27,1,2,2,0.0,0,A,A
City Hotel,0,221,2017,August,34,26,2,1,2,2.0,0,F,F
City Hotel,0,73,2016,January,3,10,2,1,2,0.0,0,A,A
Resort Hotel,0,0,2016,March,12,15,0,3,2,0.0,0,F,F
City Hotel,1,177,2016,August,35,22,2,5,2,0.0,0,A,A
City Hotel,1,111,2017,April,17,27,1,3,2,0.0,0,A,A
City Hotel,0,20,2016,April,15,3,2,1,2,0.0,0,A,A
City Hotel,0,29,2016,August,33,8,1,0,2,0.0,0,A,A
Resort Hotel,0,126,2016,May,22,25,0,2,2,0.0,0,E,F
Resort Hotel,0,45,2016,August,33,8,1,1,2,0.0,0,C,B
City Hotel,0,12,2016,December,50,10,2,3,2,0.0,0,A,A
City Hotel,1,174,2017,June,22,1,0,2,2,0.0,0,A,A
City Hotel,0,124,2017,June,26,26,1,2,2,0.0,0,A,A
City Hotel,0,1,2015,September,36,3,0,2,1,0.0,0,A,A
City Hotel,1,355,2015,October,41,7,0,2,1,0.0,0,A,A
Resort Hotel,0,204,2017,April,17,28,2,2,2,0.0,0,E,E
City Hotel,1,151,2017,May,18,3,0,2,2,0.0,0,A,A
Resort Hotel,0,176,2017,August,32,7,1,5,2,2.0,0,C,C
City Hotel,1,54,2017,April,14,5,0,4,2,0.0,0,A,A
Resort Hotel,0,0,2016,October,42,10,1,1,2,0.0,0,D,D
City Hotel,0,64,2016,April,17,17,2,1,2,0.0,0,A,A
City Hotel,0,60,2015,October,42,12,1,1,2,0.0,0,A,A
Resort Hotel,1,29,2017,April,16,20,0,2,1,0.0,0,A,D
Resort Hotel,0,112,2016,February,7,12,0,2,2,0.0,0,A,A
Resort Hotel,1,132,2017,May,22,28,4,6,2,0.0,0,E,E
Resort Hotel,0,73,2017,February,7,17,1,2,2,0.0,0,A,A
Resort Hotel,1,141,2016,August,33,7,4,10,2,2.0,0,G,G
Resort Hotel,1,468,2016,May,20,12,0,2,2,0.0,0,A,A
City Hotel,1,353,2015,October,41,5,1,1,2,0.0,0,A,A
City Hotel,0,78,2016,December,52,20,1,5,3,0.0,0,G,A
City Hotel,0,76,2015,September,38,16,0,2,2,0.0,0,A,B
City Hotel,0,1,2016,May,22,26,1,3,2,0.0,0,A,B
Resort Hotel,1,154,2016,August,34,15,1,3,2,2.0,0,G,G
Resort Hotel,1,1,2015,September,36,5,2,6,2,2.0,0,G,G
Resort Hotel,0,0,2016,February,6,3,0,2,2,0.0,0,A,A
City Hotel,0,457,2017,August,34,25,0,2,2,0.0,0,A,A
Resort Hotel,0,11,2017,March,13,31,0,2,2,0.0,0,D,D
City Hotel,0,1,2017,February,8,25,0,1,2,0.0,0,A,A
City Hotel,0,18,2017,May,18,3,0,1,2,0.0,0,A,D
City Hotel,1,48,2017,May,19,9,0,4,2,0.0,0,D,D
Resort Hotel,1,20,2016,August,32,5,0,2,2,2.0,0,G,G
City Hotel,1,265,2016,April,17,20,0,4,2,0.0,0,A,A
City Hotel,0,271,2016,September,39,21,0,3,1,0.0,0,A,A
City Hotel,0,122,2016,April,16,15,0,2,2,0.0,0,A,A
City Hotel,1,210,2017,August,31,4,2,3,2,0.0,0,A,A
Resort Hotel,0,84,2017,March,9,1,6,19,2,0.0,0,A,A
City Hotel,0,2,2017,May,20,17,0,1,1,0.0,0,A,A
Resort Hotel,0,16,2015,July,28,11,1,1,2,0.0,0,C,C
Resort Hotel,0,4,2016,December,50,4,1,0,1,0.0,0,A,D
City Hotel,1,25,2016,July,30,23,2,3,2,1.0,0,A,A
Resort Hotel,0,16,2016,October,42,9,2,0,2,0.0,0,A,C
City Hotel,1,426,2016,September,37,8,0,2,2,0.0,0,A,A
City Hotel,1,67,2017,May,18,2,0,3,2,0.0,0,A,A
City Hotel,1,315,2017,July,27,7,0,1,2,0.0,0,B,B
City Hotel,1,332,2017,April,16,22,1,1,2,1.0,0,A,A
Resort Hotel,1,127,2015,August,33,9,4,10,2,0.0,0,A,A
Resort Hotel,1,67,2017,July,30,23,2,5,2,0.0,0,E,E
City Hotel,0,11,2017,February,8,20,1,2,1,0.0,0,A,A
Resort Hotel,0,8,2017,April,17,27,0,1,1,0.0,0,A,A
City Hotel,0,55,2016,March,10,5,2,6,2,0.0,0,D,D
City Hotel,1,195,2015,September,38,17,0,2,2,0.0,0,A,A
Resort Hotel,0,146,2017,March,12,25,2,5,2,0.0,0,A,D
City Hotel,1,34,2015,December,50,8,0,2,1,0.0,0,A,A
Resort Hotel,0,201,2017,August,33,13,2,5,2,0.0,0,D,D
City Hotel,1,61,2015,December,53,30,2,6,2,0.0,0,A,A
Resort Hotel,0,6,2017,March,9,1,1,4,1,0.0,0,A,A
Resort Hotel,0,283,2015,October,42,12,2,5,2,0.0,0,E,E
City Hotel,1,15,2017,February,7,17,0,2,2,0.0,0,A,A
Resort Hotel,1,15,2016,April,15,8,1,2,2,0.0,0,A,A
City Hotel,0,196,2016,August,32,1,1,0,2,0.0,0,A,A
City Hotel,0,114,2017,June,26,29,0,3,3,0.0,0,D,D
Resort Hotel,0,59,2017,May,20,17,1,4,2,2.0,0,C,C
City Hotel,1,30,2016,September,38,15,0,2,2,0.0,0,A,A
Resort Hotel,0,89,2015,August,34,22,4,6,2,0.0,0,A,A
City Hotel,0,41,2015,September,36,4,0,1,2,0.0,0,A,A
City Hotel,0,30,2016,August,36,28,2,2,2,0.0,0,A,A
City Hotel,0,86,2016,May,21,20,1,2,2,0.0,0,A,A
Resort Hotel,0,85,2016,June,25,18,0,0,2,0.0,0,A,A
Resort Hotel,0,10,2015,December,52,20,1,0,2,0.0,0,F,F
City Hotel,0,71,2016,November,46,10,0,2,2,0.0,0,A,A
City Hotel,0,34,2016,September,38,17,2,1,2,2.0,0,F,F
City Hotel,0,71,2016,May,20,10,0,3,1,0.0,0,A,A
Resort Hotel,0,169,2016,March,14,31,1,3,2,0.0,0,A,A
Resort Hotel,0,22,2016,November,45,1,2,7,2,0.0,0,D,D
Resort Hotel,1,97,2016,June,25,14,0,4,1,0.0,0,A,A
City Hotel,1,87,2015,September,37,11,0,2,1,0.0,0,A,A
City Hotel,0,0,2015,October,41,7,0,1,1,0.0,0,A,A
City Hotel,1,102,2015,October,42,16,0,2,2,0.0,0,A,A
City Hotel,0,22,2016,November,46,10,0,3,2,0.0,0,D,D
City Hotel,0,12,2017,February,8,21,0,2,1,0.0,0,A,A
City Hotel,1,82,2016,June,26,23,0,1,2,0.0,0,A,A
City Hotel,0,82,2016,October,42,9,2,2,2,0.0,0,D,D
City Hotel,0,405,2017,July,27,4,0,2,2,0.0,0,A,A
Resort Hotel,1,161,2016,October,43,17,1,1,1,0.0,0,D,D
Resort Hotel,0,203,2017,April,17,25,0,2,2,0.0,0,A,A
City Hotel,0,70,2016,June,23,3,0,2,2,0.0,0,B,B
Resort Hotel,1,5,2017,January,4,23,1,1,1,0.0,0,A,D
City Hotel,0,42,2017,June,24,12,1,4,2,0.0,0,F,F
City Hotel,0,0,2015,October,44,31,0,1,2,0.0,0,A,A
City Hotel,1,18,2015,October,41,4,2,1,1,0.0,0,A,A
Resort Hotel,0,2,2016,February,7,11,0,2,2,0.0,0,A,D
Resort Hotel,1,53,2016,April,18,26,0,3,2,0.0,0,D,D
City Hotel,1,16,2017,January,1,5,2,5,2,0.0,0,A,A
Resort Hotel,0,0,2015,November,46,10,0,1,2,0.0,0,F,F
City Hotel,0,99,2016,October,42,12,0,4,1,0.0,0,E,E
City Hotel,1,191,2017,August,33,15,0,4,3,0.0,0,D,D
City Hotel,1,124,2016,December,53,26,1,3,2,1.0,0,F,F
City Hotel,1,132,2017,May,22,28,2,2,2,0.0,0,A,A
City Hotel,0,1,2015,October,42,14,0,1,2,0.0,0,A,A
Resort Hotel,0,145,2017,June,25,18,1,0,2,0.0,0,A,A
City Hotel,1,148,2015,December,53,30,1,4,2,0.0,0,A,A
City Hotel,0,14,2015,September,38,14,1,3,1,0.0,0,A,A
Resort Hotel,1,106,2017,January,5,31,0,4,2,0.0,0,A,A
City Hotel,1,104,2017,May,20,15,1,2,1,0.0,0,A,A
City Hotel,1,16,2016,December,53,28,2,4,2,0.0,0,A,A
City Hotel,0,132,2015,July,30,23,0,1,2,0.0,0,A,A
City Hotel,1,104,2017,May,20,15,1,2,2,0.0,0,A,A
City Hotel,1,372,2016,July,29,14,0,2,2,0.0,0,A,A
City Hotel,0,6,2017,February,8,23,0,1,2,0.0,0,A,A
City Hotel,1,93,2016,October,42,15,2,1,1,0.0,0,A,A
City Hotel,0,1,2017,May,22,30,0,1,2,0.0,0,F,F
City Hotel,0,8,2015,December,52,26,2,1,2,0.0,0,B,B
City Hotel,0,21,2017,May,18,5,0,1,2,0.0,0,A,A
Resort Hotel,0,21,2017,May,21,26,0,2,2,1.0,0,A,D
City Hotel,0,332,2017,January,2,9,1,3,2,0.0,0,A,A
Resort Hotel,0,285,2016,August,32,1,1,3,2,2.0,0,G,G
Resort Hotel,1,143,2017,June,25,18,2,2,2,0.0,0,A,A
City Hotel,0,117,2016,July,30,19,0,2,2,0.0,0,A,A
City Hotel,1,6,2015,September,39,20,2,0,1,0.0,0,A,A
City Hotel,0,218,2016,October,41,7,1,2,2,0.0,0,A,A
City Hotel,0,179,2016,July,30,17,2,2,1,0.0,0,A,A
Resort Hotel,0,36,2017,May,22,28,2,1,2,0.0,0,F,F
City Hotel,1,65,2017,June,24,11,2,0,2,0.0,0,A,A
City Hotel,1,292,2016,December,53,30,2,3,2,0.0,0,A,A
Resort Hotel,0,0,2017,June,24,12,1,0,1,0.0,0,A,A
Resort Hotel,0,80,2016,November,45,3,4,10,2,0.0,0,E,E
Resort Hotel,0,53,2016,November,45,4,2,5,2,0.0,0,A,A
City Hotel,1,4,2016,July,29,16,2,2,2,0.0,0,A,A
City Hotel,0,12,2015,October,41,4,1,0,2,0.0,0,A,D
City Hotel,0,62,2017,April,15,12,0,2,2,0.0,0,A,A
Resort Hotel,0,11,2017,January,4,23,1,3,1,0.0,0,A,A
City Hotel,0,6,2015,December,53,31,0,1,2,1.0,0,A,A
City Hotel,0,9,2017,January,5,29,2,3,2,0.0,0,A,A
City Hotel,1,175,2017,May,20,19,0,1,1,0.0,0,A,A
City Hotel,1,286,2015,July,31,30,0,2,2,0.0,0,A,A
Resort Hotel,1,65,2017,May,18,3,3,9,2,0.0,0,A,A
Resort Hotel,0,0,2016,June,25,16,0,1,2,0.0,0,F,F
City Hotel,1,87,2016,October,41,6,0,3,2,0.0,0,D,D
City Hotel,0,66,2016,July,30,18,1,0,1,0.0,0,A,A
City Hotel,0,71,2016,May,19,7,2,4,1,0.0,0,D,D
City Hotel,1,273,2015,July,29,17,0,2,2,0.0,0,A,A
City Hotel,0,93,2016,April,16,14,1,3,2,0.0,0,A,A
City Hotel,0,13,2016,September,40,27,0,2,1,0.0,0,D,D
City Hotel,1,179,2015,August,34,22,2,1,2,0.0,0,A,A
Resort Hotel,0,95,2017,January,2,8,1,0,2,0.0,0,A,D
City Hotel,0,1,2017,February,9,27,1,0,1,0.0,0,A,A
City Hotel,0,396,2017,June,26,25,2,0,2,0.0,0,A,G
City Hotel,1,24,2016,December,49,2,2,2,1,0.0,0,A,A
Resort Hotel,0,21,2016,April,18,25,1,2,1,0.0,0,A,A
City Hotel,0,4,2015,October,43,18,2,4,3,2.0,0,G,G
City Hotel,0,89,2016,May,20,9,1,2,2,0.0,0,A,D
City Hotel,1,28,2015,August,32,3,1,3,2,0.0,0,A,A
City Hotel,1,42,2016,February,8,18,2,3,2,0.0,0,A,A
Resort Hotel,0,140,2015,August,32,4,2,5,2,0.0,0,A,D
Resort Hotel,0,5,2016,January,4,20,0,1,1,0.0,0,A,D
City Hotel,1,538,2016,December,53,29,0,2,2,0.0,0,A,A
Resort Hotel,1,235,2015,July,28,11,2,3,2,0.0,0,A,A
City Hotel,1,15,2016,March,12,17,2,3,2,2.0,0,F,F
City Hotel,1,0,2016,September,40,29,1,3,1,0.0,0,A,A
City Hotel,0,1,2015,September,36,1,0,3,1,0.0,0,A,D
City Hotel,0,4,2016,March,13,26,2,1,3,0.0,0,D,D
City Hotel,0,2,2015,August,33,13,0,1,2,0.0,0,A,A
City Hotel,0,5,2015,October,42,12,1,1,1,0.0,0,A,A
Resort Hotel,0,77,2016,March,14,31,0,3,2,0.0,0,A,D
Resort Hotel,1,144,2017,May,20,15,3,6,2,0.0,0,D,D
Resort Hotel,0,47,2015,October,43,19,1,4,2,0.0,0,A,A
Resort Hotel,0,258,2017,July,26,1,2,6,2,0.0,0,A,A
Resort Hotel,1,277,2015,October,41,5,4,10,2,0.0,0,D,D
Resort Hotel,0,119,2017,February,7,16,2,8,2,0.0,0,D,D
Resort Hotel,0,98,2016,May,19,4,0,4,3,0.0,0,A,A
Resort Hotel,0,364,2016,October,42,12,2,5,2,0.0,0,A,A
City Hotel,0,141,2017,April,15,13,2,3,2,0.0,0,D,D
City Hotel,1,272,2017,July,28,10,2,5,3,0.0,0,D,D
City Hotel,1,422,2016,September,38,16,0,2,2,0.0,0,A,A
City Hotel,1,231,2015,September,37,10,1,3,2,0.0,0,A,A
Resort Hotel,0,0,2016,September,40,25,1,0,1,0.0,0,A,A
City Hotel,0,18,2017,February,7,14,0,4,2,0.0,0,D,D
City Hotel,0,276,2016,September,39,22,0,3,1,0.0,0,A,A
City Hotel,1,297,2015,August,33,10,1,1,2,0.0,0,A,A
City Hotel,1,545,2017,January,1,5,0,1,1,0.0,0,A,A
City Hotel,1,148,2016,August,35,22,1,4,2,0.0,0,A,A
City Hotel,0,7,2017,March,11,12,2,1,2,0.0,0,D,D
City Hotel,1,24,2017,April,17,27,0,3,2,0.0,0,A,A
Resort Hotel,1,128,2016,August,36,28,2,2,2,2.0,0,G,G
City Hotel,1,113,2016,July,29,10,1,0,2,0.0,0,A,A
Resort Hotel,0,79,2016,November,47,17,1,3,2,0.0,0,A,A
City Hotel,0,39,2016,September,39,18,2,2,2,0.0,0,A,A
Resort Hotel,0,49,2017,April,15,15,2,6,2,0.0,0,A,A
City Hotel,0,6,2017,May,20,14,2,0,1,0.0,0,D,D
City Hotel,1,240,2016,September,38,14,0,2,2,0.0,0,A,A
City Hotel,1,136,2016,August,33,7,2,5,2,0.0,0,A,A
City Hotel,0,298,2016,May,20,10,0,2,1,0.0,0,A,A
City Hotel,0,224,2017,July,27,2,2,3,1,0.0,0,A,A
City Hotel,0,81,2016,January,5,30,1,1,2,0.0,0,D,D
Resort Hotel,0,2,2016,October,43,19,0,1,1,0.0,0,A,A
Resort Hotel,1,81,2015,December,50,6,2,1,2,0.0,0,D,D
City Hotel,0,61,2016,March,13,21,1,3,2,0.0,0,D,D
City Hotel,0,0,2016,April,16,10,2,3,2,0.0,0,A,A
Resort Hotel,1,114,2016,April,18,29,1,2,3,1.0,0,H,H
City Hotel,1,91,2017,April,16,21,1,2,2,0.0,0,A,A
City Hotel,1,157,2016,August,36,31,0,3,2,0.0,0,B,B
City Hotel,1,52,2017,June,26,28,0,2,1,0.0,0,A,A
City Hotel,1,278,2015,July,30,22,0,2,1,0.0,0,A,A
City Hotel,0,164,2016,September,40,30,2,2,2,0.0,0,D,D
Resort Hotel,0,30,2016,October,45,31,2,5,2,0.0,0,A,A
City Hotel,0,0,2016,February,7,8,0,0,1,0.0,0,D,D
City Hotel,1,35,2016,November,49,28,1,0,2,0.0,0,D,D
Resort Hotel,1,221,2015,October,41,10,1,1,2,0.0,0,A,A
City Hotel,0,117,2016,October,44,24,1,2,2,0.0,0,A,D
City Hotel,1,391,2016,July,31,27,0,2,2,0.0,0,A,A
City Hotel,1,25,2017,May,20,16,0,3,1,0.0,0,A,A
Resort Hotel,0,0,2016,July,30,21,0,1,2,0.0,0,D,D
City Hotel,1,130,2017,May,21,26,1,2,2,0.0,0,A,A
City Hotel,0,189,2016,May,21,19,0,3,2,0.0,0,A,A
City Hotel,0,7,2016,May,22,23,1,2,1,0.0,0,A,A
City Hotel,1,281,2015,July,30,25,2,2,1,0.0,0,A,A
Resort Hotel,0,11,2017,February,6,11,0,1,2,0.0,0,A,D
City Hotel,0,94,2016,March,14,28,1,5,2,0.0,0,A,A
City Hotel,1,128,2016,November,48,26,1,1,2,0.0,0,A,A
City Hotel,1,68,2016,February,8,17,0,2,2,0.0,0,A,A
City Hotel,0,73,2015,November,48,24,0,3,2,0.0,0,A,A
City Hotel,1,146,2017,August,31,5,2,4,2,0.0,0,A,A
Resort Hotel,0,15,2016,October,41,8,0,1,2,0.0,0,A,A
City Hotel,1,135,2015,December,49,5,1,1,1,0.0,0,A,A
Resort Hotel,0,67,2016,August,34,17,2,5,1,3.0,0,C,C
City Hotel,1,7,2017,April,15,13,0,3,2,0.0,0,A,A
City Hotel,0,55,2016,April,15,6,0,1,2,0.0,0,A,A
Resort Hotel,1,46,2017,March,10,11,0,1,2,0.0,0,E,E
City Hotel,1,56,2016,November,46,6,2,0,3,0.0,0,D,D
Resort Hotel,0,112,2015,December,53,30,0,3,2,0.0,0,A,A
Resort Hotel,1,149,2016,July,30,23,2,5,2,0.0,0,D,D
Resort Hotel,1,7,2016,March,10,3,0,3,1,0.0,0,A,D
City Hotel,1,328,2017,July,29,21,0,2,2,0.0,0,D,D
Resort Hotel,1,4,2017,August,31,5,2,1,1,0.0,0,E,E
Resort Hotel,0,103,2015,August,32,6,1,3,2,0.0,0,A,A
City Hotel,1,93,2017,April,15,15,2,2,2,0.0,0,D,D
City Hotel,0,30,2016,June,25,18,2,1,2,2.0,0,F,F
City Hotel,0,15,2017,June,23,7,0,2,1,0.0,0,A,A
City Hotel,0,0,2016,May,22,25,0,1,1,0.0,0,A,A
Resort Hotel,0,30,2015,October,43,23,0,2,2,0.0,0,D,D
City Hotel,0,97,2015,October,41,7,0,2,2,0.0,0,A,G
City Hotel,1,350,2016,June,25,17,0,2,2,0.0,0,A,A
City Hotel,0,0,2016,October,43,20,0,1,2,0.0,0,A,A
City Hotel,0,206,2017,July,27,3,2,5,2,0.0,0,A,A
City Hotel,1,48,2017,June,23,9,2,2,3,0.0,0,D,D
Resort Hotel,0,146,2017,June,24,15,0,2,2,0.0,0,E,E
City Hotel,0,9,2016,July,31,28,0,1,1,2.0,0,G,G
Resort Hotel,0,254,2015,September,37,12,2,2,2,0.0,0,A,A
City Hotel,0,188,2016,October,44,24,1,2,3,0.0,0,A,A
City Hotel,1,18,2016,October,44,29,2,1,2,0.0,0,A,A
Resort Hotel,1,18,2016,April,18,30,1,1,2,2.0,0,G,G
Resort Hotel,0,42,2015,July,29,13,1,2,2,0.0,0,D,E
City Hotel,0,43,2017,May,19,8,1,2,1,0.0,0,A,A
City Hotel,1,54,2015,December,53,30,1,4,2,0.0,0,D,D
City Hotel,0,4,2017,March,11,13,1,1,1,0.0,0,A,A
Resort Hotel,0,2,2016,February,6,6,0,1,2,0.0,0,F,F
City Hotel,0,138,2016,May,19,7,0,1,2,0.0,0,A,A
Resort Hotel,1,120,2017,August,35,28,1,5,3,0.0,0,D,D
City Hotel,1,412,2016,August,35,25,0,2,2,0.0,0,A,A
City Hotel,1,38,2017,January,2,14,0,1,1,0.0,0,A,A
City Hotel,1,176,2016,April,15,9,1,1,2,0.0,0,A,A
City Hotel,0,198,2016,May,21,20,0,1,2,0.0,0,A,D
City Hotel,0,242,2016,July,31,29,0,2,0,2.0,0,B,B
City Hotel,1,101,2016,July,28,4,2,5,2,0.0,0,A,A
Resort Hotel,0,91,2017,June,25,23,2,5,2,0.0,0,D,D
City Hotel,1,156,2017,April,17,26,0,3,2,0.0,0,A,A
Resort Hotel,0,41,2016,June,25,14,0,2,2,0.0,0,E,E
City Hotel,0,133,2016,May,22,22,2,5,2,0.0,0,D,D
City Hotel,0,18,2015,December,49,1,0,2,2,0.0,0,A,A
City Hotel,1,231,2017,May,18,1,1,1,2,0.0,0,A,A
City Hotel,0,98,2015,November,48,23,1,3,1,0.0,0,A,A
Resort Hotel,0,165,2016,October,43,22,2,5,2,0.0,0,D,D
Resort Hotel,0,84,2017,May,18,2,2,5,1,0.0,0,A,A
City Hotel,0,0,2016,February,9,25,0,1,1,0.0,0,A,D
City Hotel,0,1,2016,July,30,17,1,0,2,0.0,0,D,D
City Hotel,0,113,2017,May,22,30,0,2,2,0.0,0,A,A
City Hotel,1,140,2016,October,42,11,0,3,2,0.0,0,A,D
Resort Hotel,0,1,2016,February,9,26,1,2,2,0.0,0,A,A
City Hotel,1,36,2016,September,38,15,0,3,2,2.0,0,F,F
City Hotel,0,14,2015,October,44,30,1,2,2,0.0,0,D,D
City Hotel,0,33,2016,October,44,29,2,2,2,0.0,0,A,A
City Hotel,1,107,2015,August,33,9,2,4,2,0.0,0,A,A
City Hotel,0,0,2015,October,43,22,0,2,2,0.0,0,A,A
City Hotel,1,96,2015,July,28,11,2,1,2,0.0,0,A,A
City Hotel,1,61,2017,January,4,25,0,2,2,0.0,0,A,A
City Hotel,0,45,2017,March,10,10,0,2,1,0.0,0,D,D
City Hotel,0,41,2015,August,33,12,0,2,2,0.0,0,A,A
City Hotel,1,87,2015,September,39,25,2,3,2,0.0,0,A,A
City Hotel,1,336,2015,September,38,18,0,2,2,0.0,0,A,A
Resort Hotel,1,112,2017,May,20,19,2,5,2,0.0,0,F,F
City Hotel,1,287,2016,September,40,29,1,3,2,0.0,0,A,A
City Hotel,0,14,2017,July,29,19,0,1,1,0.0,0,A,B
City Hotel,0,132,2017,March,13,26,2,3,1,0.0,0,A,A
City Hotel,1,262,2015,November,46,9,1,2,2,0.0,0,A,A
City Hotel,0,46,2016,August,34,17,0,1,2,0.0,0,A,A
City Hotel,1,289,2015,October,42,17,0,1,2,0.0,0,A,A
Resort Hotel,0,1,2017,June,26,30,0,1,1,0.0,0,A,D
City Hotel,1,15,2016,July,30,20,0,1,2,0.0,0,A,A
City Hotel,1,92,2017,March,11,15,0,3,2,0.0,0,A,A
Resort Hotel,0,0,2017,March,9,1,0,2,1,0.0,0,D,D
Resort Hotel,0,172,2016,April,17,18,3,5,2,0.0,0,A,A
City Hotel,1,44,2015,September,37,10,0,2,2,0.0,0,A,A
City Hotel,0,28,2017,March,11,14,0,2,1,0.0,0,A,A
City Hotel,1,4,2017,July,27,4,0,1,1,0.0,0,A,A
Resort Hotel,0,204,2017,August,33,16,0,0,2,0.0,0,A,I
City Hotel,0,16,2017,February,8,20,1,2,1,0.0,0,A,A
City Hotel,1,21,2016,December,52,24,2,1,1,0.0,0,A,A
City Hotel,0,108,2016,May,22,27,2,2,1,0.0,0,E,E
City Hotel,0,103,2016,March,13,24,0,3,2,0.0,0,A,A
City Hotel,0,31,2016,August,36,30,0,3,2,0.0,1,A,A
Resort Hotel,1,24,2016,October,42,15,0,1,2,0.0,0,G,G
Resort Hotel,0,179,2016,July,30,17,2,5,2,0.0,0,D,D
City Hotel,0,124,2017,June,25,23,2,2,2,0.0,0,D,D
Resort Hotel,0,32,2016,April,17,19,0,1,2,0.0,0,A,F
City Hotel,0,0,2015,August,33,11,0,4,2,0.0,0,A,A
Resort Hotel,1,211,2016,November,45,5,2,1,2,0.0,0,A,A
City Hotel,0,214,2016,August,34,18,2,6,2,0.0,0,D,D
City Hotel,1,102,2016,December,49,2,2,2,3,0.0,0,D,D
City Hotel,1,489,2016,November,46,10,0,1,1,0.0,0,A,A
City Hotel,0,41,2017,June,24,13,0,2,4,0.0,0,D,D
Resort Hotel,1,23,2016,March,12,19,2,3,2,0.0,0,A,A
City Hotel,0,79,2017,April,13,1,2,2,3,0.0,0,D,D
Resort Hotel,0,2,2017,February,6,10,0,2,2,0.0,0,A,A
Resort Hotel,1,10,2015,July,29,16,0,3,2,0.0,0,A,A
City Hotel,1,0,2016,April,16,12,0,1,1,0.0,0,A,A
Resort Hotel,0,384,2016,October,41,7,0,2,2,0.0,0,A,C
Resort Hotel,1,79,2015,July,27,3,6,15,2,1.0,0,A,A
City Hotel,0,188,2016,August,35,26,2,3,2,0.0,0,A,A
City Hotel,0,61,2016,April,18,30,1,1,2,0.0,0,A,A
City Hotel,0,0,2016,October,43,17,1,1,1,0.0,0,A,A
City Hotel,0,18,2017,April,16,18,0,4,2,0.0,0,D,D
City Hotel,1,475,2016,October,44,27,0,2,2,0.0,0,A,A
City Hotel,0,4,2016,May,21,21,1,1,1,0.0,0,A,B
City Hotel,0,47,2017,May,20,15,1,2,2,0.0,0,A,A
Resort Hotel,0,0,2016,January,3,11,1,2,1,0.0,0,A,D
City Hotel,1,276,2016,May,20,13,2,3,2,0.0,0,A,A
City Hotel,0,3,2017,April,15,10,1,1,1,0.0,0,A,A
City Hotel,0,159,2016,August,32,1,1,3,2,0.0,0,A,A
Resort Hotel,1,26,2016,March,11,9,2,4,1,0.0,0,A,A
Resort Hotel,1,211,2017,July,29,17,3,6,2,0.0,0,A,A
City Hotel,0,1,2016,June,25,17,1,2,2,0.0,0,A,A
City Hotel,1,259,2017,April,15,12,2,4,2,0.0,0,A,A
Resort Hotel,0,47,2016,December,50,8,2,5,2,0.0,0,A,C
City Hotel,1,56,2017,March,12,21,0,3,2,0.0,0,A,A
City Hotel,0,12,2016,December,50,8,0,2,1,0.0,0,A,A
City Hotel,0,120,2016,July,31,29,0,2,2,1.0,0,D,D
City Hotel,1,34,2015,December,50,8,0,2,1,0.0,0,A,A
City Hotel,0,151,2016,January,4,19,0,2,1,0.0,0,A,A
Resort Hotel,0,121,2017,January,4,22,2,5,2,0.0,0,E,E
City Hotel,0,151,2016,January,4,19,0,2,1,0.0,0,A,D
Resort Hotel,1,249,2016,December,52,20,2,5,2,0.0,0,E,E
Resort Hotel,0,91,2015,December,52,23,4,9,1,0.0,0,E,E
